BATCH 25 - 29 (SEM 2) - Sprint 1,,,,,,
Date,Subject,Mode of Exam,Time Slot ,Roll Number,No. of Students,Class Details
18th March 2026,CSS 3,Theory ,1:30 PM –02:00 PM,150096725002 to 150096725027,23,Classroom 4
,CSS 3,Theory ,1:30 PM –02:00 PM,150096725028 to 150096725052,23,Classroom 5
,CSS 3,Theory ,1:30 PM –02:00 PM,150096725053 to 150096725080,24,Classroom 6
,CSS 3,Theory ,1:30 PM –02:00 PM,150096725081 to 150096725108,23,Classroom 7
,CSS 3,Theory ,1:30 PM –02:00 PM,150096725109 to 150096725138,24,Classroom 28
,CSS 3,Theory ,1:30 PM –02:00 PM,150096725139 to 150096725167,23,Classroom 30
,CSS 3,Theory ,1:30 PM –02:00 PM,150096725168 to 150096725191,24,Classroom 31
,CSS 3,Theory ,1:30 PM –02:00 PM,150096725192 to 150096725220,25,Classroom 32
,C++,Theory ,2:30 PM - 3:00 PM,150096725002 to 150096725027,23,Classroom 4
,C++,Theory ,2:30 PM - 3:00 PM,150096725028 to 150096725052,23,Classroom 5
,C++,Theory ,2:30 PM - 3:00 PM,150096725053 to 150096725080,24,Classroom 6
,C++,Theory ,2:30 PM - 3:00 PM,150096725081 to 150096725108,23,Classroom 7
,C++,Theory ,2:30 PM - 3:00 PM,150096725109 to 150096725138,24,Classroom 28
,C++,Theory ,2:30 PM - 3:00 PM,150096725139 to 150096725167,23,Classroom 30
,C++,Theory ,2:30 PM - 3:00 PM,150096725168 to 150096725191,24,Classroom 31
,C++,Theory ,2:30 PM - 3:00 PM,150096725192 to 150096725220,25,Classroom 32
Date,Subject,Mode of Exam,Time Slot ,Roll Number,No. of Students,Class Details
20th March 2026,HTML 5 ,Theory ,2:30 PM – 3:00 PM,150096725002 to 150096725027,23,Classroom 4
,HTML 5 ,Theory ,2:30 PM – 3:00 PM,150096725028 to 150096725052,23,Classroom 5
,HTML 5 ,Theory ,2:30 PM – 3:00 PM,150096725053 to 150096725080,24,Classroom 6
,HTML 5,Theory ,2:30 PM – 3:00 PM,150096725081 to 150096725108,23,Classroom 7
,HTML 5,Theory ,2:30 PM – 3:00 PM,150096725109 to 150096725138,24,Classroom 28
,HTML 5,Theory ,2:30 PM – 3:00 PM,150096725139 to 150096725167,23,Classroom 30
,HTML 5,Theory ,2:30 PM – 3:00 PM,150096725168 to 150096725191,24,Classroom 31
,HTML 5,Theory ,2:30 PM – 3:00 PM,150096725192 to 150096725220,25,Classroom 32
,Javascript ,Theory ,03:30 PM - 04:00 PM,150096725002 to 150096725027,23,Classroom 4
,Javascript ,Theory ,03:30 PM - 04:00 PM,150096725028 to 150096725052,23,Classroom 5
,Javascript ,Theory ,03:30 PM - 04:00 PM,150096725053 to 150096725080,24,Classroom 6
,Javascript ,Theory ,03:30 PM - 04:00 PM,150096725081 to 150096725108,23,Classroom 7
,Javascript ,Theory ,03:30 PM - 04:00 PM,150096725109 to 150096725138,24,Classroom 28
,Javascript ,Theory ,03:30 PM - 04:00 PM,150096725139 to 150096725167,23,Classroom 30
,Javascript ,Theory ,03:30 PM - 04:00 PM,150096725168 to 150096725191,24,Classroom 31
,Javascript ,Theory ,03:30 PM - 04:00 PM,150096725192 to 150096725220,25,Classroom 32
